"first_name","personLabel","countryLabel","Gender","Perc","NTimes","country_code"
"aaron","aaron shaul schur","Belarus","Man",100,1,"BY"
"abraham","abram stolyar","Belarus","Man",100,1,"BY"
"abram","abram roizman","Belarus","Man",100,1,"BY"
"adam","adam paŭliukaviec","Belarus","Man",100,5,"BY"
"adeline","adelina sabitava","Belarus","Woman",100,1,"BY"
"adolph","adolph gugiel","Belarus","Man",100,1,"BY"
"afanasy","afanasy kovalyov","Belarus","Man",100,1,"BY"
"agnessa","agnessa podmazenko","Belarus","Woman",100,1,"BY"
"aharon","aharon mazia","Belarus","Man",100,2,"BY"
"aksana","oksana kovalevskaya","Belarus","Woman",100,17,"BY"
"ala","ala talkach","Belarus","Woman",100,3,"BY"
"alaina","alaina kwan","Belarus","Woman",100,1,"BY"
"alana","alana gebremariam","Belarus","Woman",100,1,"BY"
"albert","albert birula","Belarus","Man",100,4,"BY"
"aleh","aleh kavalyow","Belarus","Man",100,70,"BY"
"aleksander","aleksander kul","Belarus","Man",100,2,"BY"
"aleksandr","alyaksandr bylina","Belarus","Man",100,297,"BY"
"alena","alena khamulkina","Belarus","Woman",100,82,"BY"
"ales","alieś stavier","Belarus","Man",100,2,"BY"
"alesia","alesia liashkevich","Belarus","Woman",100,4,"BY"
"alesya","olesya babushkina","Belarus","Woman",100,6,"BY"
"alexander","alexander mikheyonok","Belarus","Man",100,24,"BY"
"alexandr","alexandr rodin","Belarus","Man",100,1,"BY"
"alexandra","aleksandra","Belarus","Woman",100,20,"BY"
"alexandre","aliaksandr hukau","Belarus","Man",100,2,"BY"
"alexei","alexei piashkun","Belarus","Man",100,2,"BY"
"alexey","alexei tsikhanau","Belarus","Man",100,17,"BY"
"alfred","alfred isidore römer","Belarus","Man",100,1,"BY"
"alhierd","alhierd baharevich","Belarus","Man",100,3,"BY"
"ali","alei varanovich","Belarus","Man",100,2,"BY"
"aliaksandr","aleksandr brazevich","Belarus","Man",100,383,"BY"
"aliaksandra","aleksandra zimina","Belarus","Woman",93.3333333333333,15,"BY"
"aliaksiej","aliaksei katkavets","Belarus","Man",100,102,"BY"
"alim","alim selimau","Belarus","Man",100,1,"BY"
"alina","alina zmushko","Belarus","Woman",100,20,"BY"
"aliona","alena karytskaya","Belarus","Woman",100,38,"BY"
"aliza","aliza klimovich","Belarus","Woman",100,1,"BY"
"alla","alla haluza","Belarus","Woman",100,5,"BY"
"alyaksandar","aliaksandr buben","Belarus","Man",100,5,"BY"
"alyona","alyona lanskaya","Belarus","Woman",100,11,"BY"
"anastasia","anastasia ivankova","Belarus","Woman",100,45,"BY"
"anastasiia","nastassia shuliak","Belarus","Woman",100,25,"BY"
"anastasija","anastasiia salos","Belarus","Woman",100,1,"BY"
"anastasiya","anastasiya safonava","Belarus","Woman",100,8,"BY"
"anatol","anatol tkachuk","Belarus","Man",100,65,"BY"
"anatolii","anatoliy salawyow","Belarus","Man",100,5,"BY"
"anatoly","anatoly gusev","Belarus","Man",100,23,"BY"
"andrei","andrey lyskovets","Belarus","Man",100,170,"BY"
"andrej","andrej dyńko","Belarus","Man",100,2,"BY"
"andrey","andrei radziuk","Belarus","Man",100,26,"BY"
"andzelika","andżelika borys","Belarus","Woman",100,1,"BY"
"angel","angel bogdanovich","Belarus","Man",100,1,"BY"
"angelina","angelina tkatcheva","Belarus","Woman",100,3,"BY"
"anis","anis ananenka","Belarus","Man",100,1,"BY"
"anissya","anissia balocina","Belarus","Woman",100,1,"BY"
"anna","anna khitrik","Belarus","Woman",100,43,"BY"
"anton","anton karpuk","Belarus","Man",100,60,"BY"
"antoni","antonij dziamjanka","Belarus","Man",100,2,"BY"
"antonina","antonina langina","Belarus","Woman",100,1,"BY"
"antonio","antonio siyaka","Belarus","Man",100,1,"BY"
"anzalika","anzhalika barysevich","Belarus","Woman",100,2,"BY"
"anzhelika","anzhalika barysevich","Belarus","Woman",100,2,"BY"
"apanas","afanasy kovalyov","Belarus","Man",100,1,"BY"
"arina","arina sitnikova","Belarus","Woman",100,6,"BY"
"aristarkh","aristarkh","Belarus","Man",100,1,"BY"
"arkady","arkadz vashkevich","Belarus","Man",100,2,"BY"
"arkadz","arkadz husakow","Belarus","Man",100,5,"BY"
"arnold","arnold mikhnevich","Belarus","Man",100,1,"BY"
"aron","aron kastelyanskiy","Belarus","Man",100,1,"BY"
"arsenius","arsen vanitski","Belarus","Man",100,1,"BY"
"arsien","arseniy bondarenko","Belarus","Man",100,1,"BY"
"artem","arciom drabatovič","Belarus","Man",100,23,"BY"
"arthur","artour draptchinski","Belarus","Man",100,2,"BY"
"artsyom","artsem mikhalenka","Belarus","Man",100,40,"BY"
"artur","artur volski","Belarus","Man",100,21,"BY"
"artyom","artyom senkevich","Belarus","Man",100,2,"BY"
"assol","assoli slivets","Belarus","Woman",100,1,"BY"
"august","august milovanov","Belarus","Man",100,1,"BY"
"avraham","avraham kalmanowitz","Belarus","Man",100,1,"BY"
"avyaryan","avaryan dzeruzhynski","Belarus","Man",100,1,"BY"
"azat","azat torosyan","Belarus","Man",100,1,"BY"
"barbara","varvara cherkovskaya","Belarus","Woman",100,2,"BY"
"barys","boris arakcheev","Belarus","Man",100,22,"BY"
"ben","ben zion hyman","Belarus","Man",100,1,"BY"
"beniamin","vienijamin (tupieka)","Belarus","Man",100,1,"BY"
"benjamin","benjamin blumenfeld","Belarus","Man",100,1,"BY"
"bernard","bernard ėmmanuilovich bykhovskiĭ","Belarus","Man",100,1,"BY"
"binyamin","binyomin beinush finkel","Belarus","Man",100,1,"BY"
"bogdan","bogdan sadovskiy","Belarus","Man",100,1,"BY"
"boris","barys karasiou","Belarus","Man",100,16,"BY"
"bronislav","bronislav sprinchan","Belarus","Man",100,1,"BY"
"bronislawa","bronislava kurtser","Belarus","Woman",100,1,"BY"
"carlos","carlos sherman","Belarus","Man",100,1,"BY"
"caterina","caterina shulha","Belarus","Woman",100,1,"BY"
"catherine","katsyaryna afanasyeva","Belarus","Woman",100,2,"BY"
"celina","celina aniszkiewicz","Belarus","Woman",100,1,"BY"
"chaim","chaim leib tiktinsky","Belarus","Man",100,2,"BY"
"christina","kristina drobysh","Belarus","Woman",100,2,"BY"
"christine","krystsina ilchanka","Belarus","Woman",100,1,"BY"
"constance","kanstantsia builo","Belarus","Woman",100,1,"BY"
"czeslaw","czesław pietkiewicz","Belarus","Man",100,1,"BY"
"damian","dziamyan turchyn","Belarus","Man",100,1,"BY"
"daniel","daniel arkarful","Belarus","Woman",100,1,"BY"
"daniil","seydanil","Belarus","Man",100,2,"BY"
"danil","daniil silinski","Belarus","Man",100,3,"BY"
